date,source,n,mean,median,sd,iqr,min,max,range
2012-01-25,table2_compilation,17,2.2029411764705884,2.2,0.24038607931414765,0.5,1.7999999999999998,2.5,0.7000000000000002
2012-04-25,table2_compilation,17,2.1852941176470586,2.2,0.29394112349762325,0.5,1.5,2.5,1.0
2012-06-20,table2_compilation,19,2.110526315789474,2.2,0.37366567782064686,0.3999999999999999,1.0,2.5,1.5
2012-09-13,table2_compilation,19,2.0710526315789473,2.0,0.37003406296749586,0.2999999999999998,1.0,2.5,1.5
2012-12-12,table2_compilation,19,2.0473684210526315,2.0,0.3632722931944715,0.375,1.0,2.5,1.5
2013-03-20,table2_compilation,19,2.0210526315789474,2.0,0.3313909241339267,0.2749999999999999,1.25,2.5,1.25
2013-06-19,table2_compilation,19,2.0210526315789474,2.0,0.3313909241339267,0.2749999999999999,1.25,2.5,1.25
2013-09-18,table2_compilation,17,1.9411764705882353,2.0,0.2761261935066726,0.0,1.25,2.3,1.0499999999999998
2013-12-18,table2_compilation,17,1.8941176470588237,2.0,0.2513974781924482,0.25,1.5,2.3,0.7999999999999998
2014-03-19,table2_compilation,16,1.884375,2.0,0.25903592294313155,0.3125,1.5,2.3,0.7999999999999998
2014-06-18,table2_compilation,16,1.778125,1.75,0.2651466280664342,0.23749999999999982,1.25,2.3,1.0499999999999998
2014-09-17,table2_compilation,17,1.798529411764706,1.75,0.2629681523206719,0.25,1.25,2.3,1.0499999999999998
2014-12-17,table2_compilation,17,1.7794117647058822,1.75,0.25556098819092304,0.25,1.25,2.25,1.0
2015-03-18,table2_compilation,17,1.661764705882353,1.75,0.2703643575125035,0.25,1.0,2.25,1.25
2015-06-17,table2_compilation,17,1.6470588235294117,1.75,0.2719594413074548,0.25,1.25,2.25,1.0
2015-09-17,table2_compilation,17,1.463235294117647,1.5,0.24913344626613848,0.375,1.0,2.0,1.0
2015-12-16,table2_compilation,17,1.411764705882353,1.5,0.2564058202082749,0.25,1.0,2.0,1.0
2016-03-16,table2_compilation,17,1.3088235294117647,1.25,0.291161615782696,0.5,1.0,2.0,1.0
2016-06-15,table2_compilation,16,1.140625,1.0,0.30578727798095195,0.25,0.75,1.75,1.0
2016-09-21,table2_compilation,16,0.90625,0.875,0.32923917977664807,0.25,0.5,1.75,1.25
2016-12-14,table2_compilation,16,0.953125,1.0,0.2960514893983815,0.25,0.5,1.75,1.25
2017-03-15,table2_compilation,16,0.96875,1.0,0.2914805954090255,0.25,0.5,1.75,1.25
2017-06-14,table2_compilation,15,0.9166666666666666,1.0,0.21730674684008833,0.25,0.5,1.5,1.0
2017-09-20,table2_compilation,15,0.7833333333333333,0.75,0.3009245014211298,0.5,0.25,1.5,1.25
2017-12-13,table2_compilation,15,0.7833333333333333,0.75,0.22110831935702666,0.25,0.25,1.0,0.75
2018-03-21,table2_compilation,14,0.8660714285714286,0.875,0.3005362978519078,0.25,0.25,1.5,1.25
