date,n,i_star_p25,i_star_med,i_star_p75,pi_star_med,pi_star_p25,pi_star_p75,sep_fcst_med,rstar_med,i_star_iqr,pi_star_iqr,disagree_with_fed,panel
2023-07-12,52.0,2.3800000000000003,2.5,2.75,,,,,,0.36999999999999966,,,Combined
2023-09-06,48.0,2.5,2.56,2.88,,,,2.5,,0.3799999999999999,,0.06000000000000005,Combined
2023-10-18,51.0,2.5,2.63,3.0,,,,,,0.5,,,Combined
2023-11-29,51.0,2.5,2.75,3.0,,,,2.5,,0.5,,0.25,Combined
2024-03-06,51.0,2.5,2.75,3.11,,,,2.5,,0.6099999999999999,,0.25,Combined
2024-04-17,47.0,2.63,3.0,3.1300000000000003,,,,,,0.5000000000000004,,,Combined
2024-05-29,48.0,2.7199999999999998,3.0,3.1300000000000003,,,,2.63,,0.4100000000000006,,0.3700000000000001,Combined
2024-07-17,49.0,2.75,3.0,3.25,,,,,,0.5,,,Combined
2024-09-04,50.0,2.75,2.88,3.1300000000000003,,,,2.75,,0.38000000000000034,,0.1299999999999999,Combined
2024-10-23,49.0,2.75,3.0,3.1300000000000003,,,,,,0.38000000000000034,,,Combined
2024-12-04,48.0,2.88,3.1300000000000003,3.38,,,,3.0,,0.5,,0.13000000000000034,Combined
2025-01-15,55.0,2.88,3.1300000000000003,3.45,2.0,2.0,2.0,,1.1300000000000003,0.5700000000000003,0.0,,Combined
2025-03-05,53.0,2.88,3.1300000000000003,3.4000000000000004,2.0,2.0,2.0,3.0,1.1300000000000003,0.5200000000000005,0.0,0.13000000000000034,Combined
2025-04-23,56.0,2.88,3.1300000000000003,3.38,2.0,2.0,2.0,,1.1300000000000003,0.5,0.0,,Combined
2025-06-04,54.0,2.91,3.1300000000000003,3.39,2.0,2.0,2.0500000000000003,3.0,1.1300000000000003,0.48,0.050000000000000266,0.13000000000000034,Combined
2025-07-16,55.0,2.88,3.1300000000000003,3.38,2.0,2.0,2.03,,1.1300000000000003,0.5,0.029999999999999805,,Combined
2025-09-03,54.0,2.88,3.1300000000000003,3.38,2.0,2.0,2.1,3.0,1.1300000000000003,0.5,0.10000000000000009,0.13000000000000034,Combined
2025-10-15,53.0,2.88,3.1300000000000003,3.38,2.0,2.0,2.1,,1.1300000000000003,0.5,0.10000000000000009,,Combined
2025-11-25,53.0,2.88,3.1300000000000003,3.38,2.0,2.0,2.1,3.0,1.1300000000000003,0.5,0.10000000000000009,0.13000000000000034,Combined
2026-01-14,58.0,3.0,3.1,3.38,2.0,2.0,2.03,,1.1,0.3799999999999999,0.029999999999999805,,Combined
2026-03-04,59.0,3.0,3.1300000000000003,3.38,2.0,2.0,2.0,3.0,1.1300000000000003,0.3799999999999999,0.0,0.13000000000000034,Combined
2026-04-15,62.0,3.0,3.1300000000000003,3.38,2.0,2.0,2.0,,1.1300000000000003,0.3799999999999999,0.0,,Combined
2026-06-03,61.0,3.0,3.1300000000000003,3.5000000000000004,2.0,2.0,2.0,3.1300000000000003,1.1300000000000003,0.5000000000000004,0.0,0.0,Combined
