date,panel,file,i_star_p25,i_star_med,i_star_p75,ff10y_p25,ff10y_med,ff10y_p75,i_star_iqr,rstar_med_assumed
2015-01-01,SMP,2015-01_mp-January-result.pdf,3.0,3.5,3.75,2.25,2.74,3.0,0.75,1.5
2015-03-01,SMP,2015-03_mp-March-result.pdf,3.25,3.5,3.75,2.38,2.8,3.0,0.5,1.5
2015-04-01,SMP,2015-04_mp-April-result.pdf,3.0,3.5,3.75,2.12,2.75,3.0,0.75,1.5
2015-06-01,SMP,2015-06_mp-June-result.pdf,3.0,3.5,3.75,2.12,2.75,3.0,0.75,1.5
2015-07-01,SMP,2015-07_mp-July-result.pdf,3.0,3.5,3.75,2.1,2.5,3.0,0.75,1.5
2015-09-01,SMP,2015-09_mp-sep-result.pdf,3.0,3.5,3.5,2.25,2.5,2.9,0.5,1.5
2015-10-01,SMP,2015-10_mp-oct-result.pdf,2.75,3.25,3.5,2.0,2.5,2.71,0.75,1.25
2015-12-01,SMP,2015-12_mp-Dec-2015-results.pdf,2.75,3.0,3.5,2.0,2.5,2.75,0.75,1.0
2016-01-01,SMP,2016-01_jan-results-mp.pdf,2.75,3.25,3.5,2.13,2.5,2.75,0.75,1.25
2016-03-01,SMP,2016-03_mar-results-mp.pdf,2.5,3.25,3.4,2.0,2.4,2.75,0.8999999999999999,1.25
2016-04-01,SMP,2016-04_apr-results-mp.pdf,2.5,2.75,3.25,2.0,2.14,2.5,0.75,0.75
2016-06-01,SMP,2016-06_jun-results-mp.pdf,2.5,2.75,3.25,2.0,2.15,2.5,0.75,0.75
2016-07-01,SMP,2016-07_jul-results-mp.pdf,2.5,2.75,3.0,1.8,2.0,2.5,0.5,0.75
2016-09-01,SMP,2016-09_sep-results-mp.pdf,2.5,2.63,3.0,1.75,2.0,2.5,0.5,0.6299999999999999
2016-11-01,SMP,2016-11_Nov-2016-SMP-Results.pdf,2.5,2.5,3.0,1.68,2.0,2.5,0.5,0.5
2016-12-01,SMP,2016-12_Dec-2016-Flash-SMP-Results-Public-Release.pdf,2.5,2.75,3.0,1.8,2.38,2.5,0.5,0.75
2017-01-01,SMP,2017-01_Jan-2017-SMP-Results-Public-Release.pdf,2.5,2.81,3.0,1.88,2.5,2.75,0.5,0.81
2017-03-01,SMP,2017-03_Mar-2017-SMP-Results-Public-Release.pdf,2.5,2.75,3.25,1.88,2.5,2.75,0.75,0.75
2017-05-01,SMP,2017-05_may-2017-SMP-Results-Public-Release.pdf,2.5,2.75,3.13,1.85,2.4,2.75,0.6299999999999999,0.75
2017-06-01,SMP,2017-06_jun-2017-smp-results.pdf,2.56,2.75,3.06,1.86,2.5,2.75,0.5,0.75
2017-07-01,SMP,2017-07_jul-2017-smp-results.pdf,2.5,2.75,3.0,1.85,2.5,2.75,0.5,0.75
2017-09-01,SMP,2017-09_sep-2017-smp-results.pdf,2.5,2.75,3.0,2.0,2.32,2.75,0.5,0.75
2017-10-01,SMP,2017-10_oct-nov-2017-smp-results.pdf,2.5,2.75,3.0,2.0,2.3,2.75,0.5,0.75
2017-12-01,SMP,2017-12_dec-2017-smp-results.pdf,2.5,2.75,3.0,2.0,2.34,2.5,0.5,0.75
2018-01-01,SMP,2018-01_jan-2018-smp-results.pdf,2.5,2.75,3.0,2.0,2.41,2.5,0.5,0.75
2018-03-01,SMP,2018-03_mar-2018-smp-results.pdf,2.75,2.75,3.0,2.0,2.42,2.75,0.25,0.75
2018-05-01,SMP,2018-05_may-2018-smp-results.pdf,2.75,2.75,3.06,2.0,2.5,2.75,0.31000000000000005,0.75
2018-06-01,SMP,2018-06_jun-2018-smp-results.pdf,2.75,2.88,3.13,2.0,2.5,2.8,0.3799999999999999,0.8799999999999999
2018-07-01,SMP,2018-07_jul-aug-2018-smp-results.pdf,2.63,2.88,3.0,2.25,2.5,2.63,0.3700000000000001,0.8799999999999999
2018-09-01,SMP,2018-09_sep-2018-smp-results.pdf,2.75,2.875,3.0,2.25,2.5,2.625,0.25,0.875
2018-11-01,SMP,2018-11_nov-2018-smp-results.pdf,2.75,3.0,3.13,2.2,2.5,2.75,0.3799999999999999,1.0
