date,n_prev,n_now,n_both,n_entered,n_left,d_median_total,d_median_revision,d_median_turnover,n_revised
2012-04-25,17,17,17,0,0,0.0,0.0,0.0,2
2012-06-20,17,19,17,2,0,0.0,0.0,0.0,3
2012-09-13,19,19,19,0,0,-0.20000000000000018,-0.20000000000000018,0.0,2
2012-12-12,19,19,19,0,0,0.0,0.0,0.0,2
2013-03-20,19,19,19,0,0,0.0,0.0,0.0,6
2013-06-19,19,19,19,0,0,0.0,0.0,0.0,0
2013-09-18,19,17,17,0,2,0.0,0.0,0.0,3
2013-12-18,17,17,17,0,0,0.0,0.0,0.0,4
2014-03-19,17,16,16,0,1,0.0,0.0,0.0,1
2014-06-18,16,16,14,2,2,-0.25,-0.25,0.0,5
2014-09-17,16,17,16,1,0,0.0,0.0,0.0,1
2014-12-17,17,17,17,0,0,0.0,0.0,0.0,4
2015-03-18,17,17,15,2,2,0.0,-0.25,0.25,7
2015-06-17,17,17,17,0,0,0.0,0.0,0.0,3
2015-09-17,17,17,15,2,2,-0.25,0.0,-0.25,9
2015-12-16,17,17,16,1,1,0.0,0.0,0.0,3
2016-03-16,17,17,16,1,1,-0.25,-0.25,0.0,7
2016-06-15,17,16,16,0,1,-0.25,-0.25,0.0,8
2016-09-21,16,16,16,0,0,-0.125,-0.125,0.0,12
2016-12-14,16,16,16,0,0,0.125,0.125,0.0,3
2017-03-15,16,16,15,1,1,0.0,0.0,0.0,1
2017-06-14,16,15,13,2,3,0.0,0.0,0.0,3
2017-09-20,15,15,15,0,0,-0.25,-0.25,0.0,6
2017-12-13,15,15,14,1,1,0.0,0.0,0.0,4
2018-03-21,15,14,13,1,2,0.125,0.0,0.125,3
2018-06-13,14,14,14,0,0,0.0,0.0,0.0,0
2018-09-26,14,15,13,2,1,0.125,0.25,-0.125,4
2018-12-19,15,16,14,2,1,-0.25,-0.125,-0.125,1
2019-03-20,16,16,16,0,0,0.0,0.0,0.0,2
2019-06-19,16,16,16,0,0,-0.25,-0.25,0.0,7
2019-09-18,16,16,16,0,0,0.0,0.0,0.0,7
2019-12-11,16,16,16,0,0,0.0,0.0,0.0,4
2020-06-10,16,16,16,0,0,0.0,0.0,0.0,3
2020-09-16,16,16,16,0,0,0.0,0.0,0.0,0
2020-12-16,16,16,16,0,0,0.0,0.0,0.0,0
