date,person,i_star,pi_star,rstar,lr_gdp,lr_unemp
2012-01-25,Bernanke,4.2,2.0,2.2,2.4,5.5
2012-01-25,Bullard,4.25,2.0,2.25,2.3,6.0
2012-01-25,Dudley,4.0,2.0,2.0,2.3,5.0
2012-01-25,Duke,4.5,2.0,2.5,2.5,5.5
2012-01-25,Evans,4.5,2.0,2.5,2.5,5.2
2012-01-25,Fisher,4.0,2.0,2.0,2.7,5.5
2012-01-25,George,4.5,2.0,2.5,2.5,5.5
2012-01-25,Kocherlakota,4.0,2.0,2.0,2.6,6.0
2012-01-25,Lacker,4.5,2.0,2.5,2.5,6.0
2012-01-25,Lockhart,4.5,2.0,2.5,2.5,5.2
2012-01-25,Pianalto,4.0,2.0,2.0,2.6,6.0
2012-01-25,Plosser,4.5,2.0,2.5,2.7,6.0
2012-01-25,Raskin,3.8,2.0,1.7999999999999998,3.0,5.4
2012-01-25,Rosengren,4.0,2.0,2.0,2.5,5.2
2012-01-25,Tarullo,4.0,2.0,2.0,2.3,5.4
2012-01-25,Williams,4.2,2.0,2.2,2.2,5.5
2012-01-25,Yellen,4.0,2.0,2.0,2.5,5.3
2012-04-25,Bernanke,4.4,2.0,2.4000000000000004,2.4,5.5
2012-04-25,Bullard,4.25,2.0,2.25,2.3,6.0
2012-04-25,Dudley,3.5,2.0,1.5,2.3,4.9
2012-04-25,Duke,4.5,2.0,2.5,2.5,6.0
2012-04-25,Evans,4.5,2.0,2.5,2.5,5.2
2012-04-25,Fisher,4.0,2.0,2.0,2.7,5.5
2012-04-25,George,4.5,2.0,2.5,2.5,5.5
2012-04-25,Kocherlakota,4.0,2.0,2.0,2.5,6.0
2012-04-25,Lacker,4.5,2.0,2.5,2.5,6.0
2012-04-25,Lockhart,4.5,2.0,2.5,2.5,5.2
2012-04-25,Pianalto,4.0,2.0,2.0,2.6,6.0
2012-04-25,Plosser,4.5,2.0,2.5,2.7,6.0
2012-04-25,Raskin,3.8,2.0,1.7999999999999998,3.0,5.4
2012-04-25,Rosengren,4.0,2.0,2.0,2.5,5.2
2012-04-25,Tarullo,4.0,2.0,2.0,2.3,5.4
2012-04-25,Williams,4.2,2.0,2.2,2.2,5.5
2012-04-25,Yellen,4.0,2.0,2.0,2.5,5.3
2012-06-20,Bernanke,4.3,2.0,2.3,2.3,5.5
2012-06-20,Bullard,4.25,2.0,2.25,2.3,6.0
2012-06-20,Dudley,3.5,2.0,1.5,2.3,4.9
2012-06-20,Duke,4.5,2.0,2.5,2.3,6.0
2012-06-20,Evans,4.5,2.0,2.5,2.5,5.2
2012-06-20,Fisher,4.0,2.0,2.0,2.7,5.5
2012-06-20,George,4.3,2.0,2.3,2.3,5.5
2012-06-20,Kocherlakota,4.0,2.0,2.0,2.5,6.3
2012-06-20,Lacker,4.5,2.0,2.5,2.5,6.0
2012-06-20,Lockhart,4.5,2.0,2.5,2.5,5.2
2012-06-20,Pianalto,4.0,2.0,2.0,2.6,6.0
2012-06-20,Plosser,4.5,2.0,2.5,2.5,6.0
2012-06-20,Powell,4.0,2.0,2.0,2.5,5.2
2012-06-20,Raskin,3.8,2.0,1.7999999999999998,3.0,5.4
2012-06-20,Rosengren,4.0,2.0,2.0,2.5,5.2
2012-06-20,Stein,4.25,2.0,2.25,2.5,5.8
2012-06-20,Tarullo,4.0,2.0,2.0,2.2,5.5
2012-06-20,Williams,4.2,2.0,2.2,2.2,5.5
2012-06-20,Yellen,3.0,2.0,1.0,2.5,5.3
2012-09-13,Bernanke,4.3,2.0,2.3,2.3,5.5
2012-09-13,Bullard,4.25,2.0,2.25,2.3,6.0
2012-09-13,Dudley,3.5,2.0,1.5,2.3,5.0
2012-09-13,Duke,4.5,2.0,2.5,2.3,6.0
2012-09-13,Evans,4.0,2.0,2.0,2.5,5.2
2012-09-13,Fisher,4.0,2.0,2.0,2.7,5.5
2012-09-13,George,4.3,2.0,2.3,2.3,5.5
2012-09-13,Kocherlakota,3.75,2.0,1.75,2.5,6.3
2012-09-13,Lacker,4.5,2.0,2.5,2.5,6.0
2012-09-13,Lockhart,4.5,2.0,2.5,2.5,5.2
2012-09-13,Pianalto,4.0,2.0,2.0,2.5,6.0
2012-09-13,Plosser,4.5,2.0,2.5,2.5,6.0
2012-09-13,Powell,4.0,2.0,2.0,2.5,5.2
2012-09-13,Raskin,3.8,2.0,1.7999999999999998,3.0,5.4
2012-09-13,Rosengren,4.0,2.0,2.0,2.5,5.3
2012-09-13,Stein,4.25,2.0,2.25,2.5,5.8
2012-09-13,Tarullo,4.0,2.0,2.0,2.2,5.5
2012-09-13,Williams,4.2,2.0,2.2,2.2,5.5
2012-09-13,Yellen,3.0,2.0,1.0,2.5,5.3
2012-12-12,Bernanke,4.3,2.0,2.3,2.3,5.5
2012-12-12,Bullard,4.25,2.0,2.25,2.3,6.0
2012-12-12,Dudley,3.5,2.0,1.5,2.3,5.0
2012-12-12,Duke,4.5,2.0,2.5,2.3,6.0
2012-12-12,Evans,4.0,2.0,2.0,2.5,5.2
2012-12-12,Fisher,4.0,2.0,2.0,2.5,5.5
2012-12-12,George,4.3,2.0,2.3,2.3,5.5
2012-12-12,Kocherlakota,3.75,2.0,1.75,2.3,6.0
2012-12-12,Lacker,4.25,2.0,2.25,2.3,6.0
2012-12-12,Lockhart,4.5,2.0,2.5,2.5,5.2
2012-12-12,Pianalto,4.0,2.0,2.0,2.5,6.0
2012-12-12,Plosser,4.5,2.0,2.5,2.5,6.0
2012-12-12,Powell,4.0,2.0,2.0,2.5,5.2
2012-12-12,Raskin,3.8,2.0,1.7999999999999998,3.0,5.4
2012-12-12,Rosengren,3.8,2.0,1.7999999999999998,2.3,5.3
2012-12-12,Stein,4.25,2.0,2.25,2.5,5.8
2012-12-12,Tarullo,4.0,2.0,2.0,2.2,5.5
2012-12-12,Williams,4.2,2.0,2.2,2.2,5.4
2012-12-12,Yellen,3.0,2.0,1.0,2.5,5.3
2013-03-20,Bernanke,4.3,2.0,2.3,2.3,5.5
2013-03-20,Bullard,4.25,2.0,2.25,2.3,6.0
2013-03-20,Dudley,3.5,2.0,1.5,2.3,5.0
2013-03-20,Duke,4.5,2.0,2.5,2.3,6.0
2013-03-20,Evans,4.0,2.0,2.0,2.5,5.2
2013-03-20,Fisher,4.0,2.0,2.0,2.5,5.5
2013-03-20,George,4.3,2.0,2.3,2.3,5.5
2013-03-20,Kocherlakota,3.5,2.0,1.5,2.3,6.0
2013-03-20,Lacker,4.0,2.0,2.0,2.1,6.0
2013-03-20,Lockhart,4.5,2.0,2.5,2.5,5.2
2013-03-20,Pianalto,4.0,2.0,2.0,2.5,6.0
2013-03-20,Plosser,4.5,2.0,2.5,2.5,6.0
2013-03-20,Powell,4.0,2.0,2.0,2.5,5.2
2013-03-20,Raskin,4.0,2.0,2.0,3.0,5.4
2013-03-20,Rosengren,3.8,2.0,1.7999999999999998,2.3,5.3
2013-03-20,Stein,4.0,2.0,2.0,2.3,5.5
2013-03-20,Tarullo,4.0,2.0,2.0,2.2,5.4
2013-03-20,Williams,4.0,2.0,2.0,2.0,5.4
2013-03-20,Yellen,3.25,2.0,1.25,2.3,5.2
2013-06-19,Bernanke,4.3,2.0,2.3,2.3,5.5
2013-06-19,Bullard,4.25,2.0,2.25,2.3,6.0
2013-06-19,Dudley,3.5,2.0,1.5,2.3,5.0
2013-06-19,Duke,4.5,2.0,2.5,2.3,5.8
2013-06-19,Evans,4.0,2.0,2.0,2.5,5.2
2013-06-19,Fisher,4.0,2.0,2.0,2.4,5.4
2013-06-19,George,4.3,2.0,2.3,2.3,5.5
2013-06-19,Kocherlakota,3.5,2.0,1.5,2.3,6.0
2013-06-19,Lacker,4.0,2.0,2.0,2.1,5.8
2013-06-19,Lockhart,4.5,2.0,2.5,2.5,5.2
2013-06-19,Pianalto,4.0,2.0,2.0,2.3,6.0
2013-06-19,Plosser,4.5,2.0,2.5,2.5,6.0
2013-06-19,Powell,4.0,2.0,2.0,2.5,5.2
2013-06-19,Raskin,4.0,2.0,2.0,3.0,5.4
2013-06-19,Rosengren,3.8,2.0,1.7999999999999998,2.3,5.3
2013-06-19,Stein,4.0,2.0,2.0,2.3,5.5
2013-06-19,Tarullo,4.0,2.0,2.0,2.2,5.4
2013-06-19,Williams,4.0,2.0,2.0,2.0,5.4
2013-06-19,Yellen,3.25,2.0,1.25,2.3,5.2
2013-09-18,Bernanke,4.3,2.0,2.3,2.3,5.4
2013-09-18,Bullard,4.25,2.0,2.25,2.3,6.0
2013-09-18,Dudley,3.5,2.0,1.5,2.3,5.3
2013-09-18,Evans,4.0,2.0,2.0,2.5,5.2
2013-09-18,Fisher,4.0,2.0,2.0,2.4,5.4
2013-09-18,George,4.3,2.0,2.3,2.3,5.5
2013-09-18,Kocherlakota,3.5,2.0,1.5,2.3,5.8
2013-09-18,Lacker,4.0,2.0,2.0,2.1,5.8
2013-09-18,Lockhart,4.0,2.0,2.0,2.5,5.2
2013-09-18,Pianalto,4.0,2.0,2.0,2.3,6.0
2013-09-18,Plosser,4.0,2.0,2.0,2.5,6.0
2013-09-18,Powell,4.0,2.0,2.0,2.5,5.2
2013-09-18,Rosengren,3.8,2.0,1.7999999999999998,2.3,5.3
2013-09-18,Stein,4.0,2.0,2.0,2.3,5.5
2013-09-18,Tarullo,4.0,2.0,2.0,2.2,5.4
2013-09-18,Williams,4.1,2.0,2.0999999999999996,2.1,5.4
2013-09-18,Yellen,3.25,2.0,1.25,2.2,5.2
2013-12-18,Bernanke,4.0,2.0,2.0,2.3,5.2
2013-12-18,Bullard,4.25,2.0,2.25,2.3,6.0
2013-12-18,Dudley,3.5,2.0,1.5,2.3,5.3
2013-12-18,Evans,4.0,2.0,2.0,2.5,5.2
2013-12-18,Fisher,4.0,2.0,2.0,2.4,5.4
2013-12-18,George,4.3,2.0,2.3,2.3,5.5
2013-12-18,Kocherlakota,3.5,2.0,1.5,2.3,5.5
2013-12-18,Lacker,3.75,2.0,1.75,1.8,5.8
2013-12-18,Lockhart,4.0,2.0,2.0,2.5,5.2
2013-12-18,Pianalto,4.0,2.0,2.0,2.3,6.0
2013-12-18,Plosser,4.0,2.0,2.0,2.4,5.8
2013-12-18,Powell,4.0,2.0,2.0,2.3,5.3
2013-12-18,Rosengren,3.8,2.0,1.7999999999999998,2.2,5.3
2013-12-18,Stein,4.0,2.0,2.0,2.3,5.5
2013-12-18,Tarullo,3.5,2.0,1.5,2.2,5.4
2013-12-18,Williams,4.1,2.0,2.0999999999999996,2.1,5.4
2013-12-18,Yellen,3.5,2.0,1.5,2.2,5.2
2014-03-19,Bullard,4.25,2.0,2.25,2.3,6.0
2014-03-19,Dudley,3.5,2.0,1.5,2.3,5.3
2014-03-19,Evans,4.0,2.0,2.0,2.4,5.2
2014-03-19,Fisher,4.0,2.0,2.0,2.3,5.6
2014-03-19,George,4.3,2.0,2.3,2.3,5.5
2014-03-19,Kocherlakota,3.5,2.0,1.5,2.3,5.3
