person,2012-01-25,2012-04-25,2012-06-20,2012-09-13,2012-12-12,2013-03-20,2013-06-19,2013-09-18,2013-12-18,2014-03-19,2014-06-18,2014-09-17,2014-12-17,2015-03-18,2015-06-17,2015-09-17,2015-12-16,2016-03-16,2016-06-15,2016-09-21,2016-12-14,2017-03-15,2017-06-14,2017-09-20,2017-12-13,2018-03-21,2018-06-13,2018-09-26,2018-12-19,2019-03-20,2019-06-19,2019-09-18,2019-12-11,2020-06-10,2020-09-16,2020-12-16
Barkin,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.0,1.0,1.0
Bernanke,2.2,2.4000000000000004,2.3,2.3,2.3,2.3,2.3,2.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bostic,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5
Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Brainard,,,,,,,,,,,,1.875,1.75,1.75,1.75,1.25,1.25,1.0,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.5,0.5,0.5,0.5,0.5
Bullard,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
Clarida,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,0.5,0.5,0.5,0.2999999999999998,0.2999999999999998,0.2999999999999998
Dudley,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.0,0.5,0.5,0.5,0.75,0.75,0.75,1.0,1.0,,,,,,,,,
Duke,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evans,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75,1.75,1.75,1.5,1.5,1.25,1.25,1.25,1.25,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5
Fischer,,,,,,,,,,,1.75,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,
Fisher,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75,1.75,1.75,,,,,,,,,,,,,,,,,,,,,,,
George,2.5,2.5,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.25,2.25,2.25,1.75,1.75,1.75,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Gooding,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Gould,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,
Harker,,,,,,,,,,,,,,,,1.5,1.5,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5
Holcomb,,,,,,,,,,,,,,1.75,1.75,,,,,,,,,,,,,,,,,,,,,
Kaplan,,,,,,,,,,,,,,,,1.625,1.5,1.25,1.0,0.75,1.0,1.0,0.75,0.5,0.5,0.625,0.625,0.75,0.75,0.5,0.375,0.0,0.25,0.25,0.25,0.25
Kashkari,,,,,,,,,,,,,,,,,,1.0,1.0,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.0,0.0
Kocherlakota,2.0,2.0,2.0,1.75,1.75,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.0,1.25,1.25,,,,,,,,,,,,,,,,,,,,
Lacker,2.5,2.5,2.5,2.5,2.25,2.0,2.0,2.0,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,,,,,,,,,,,,,,
Lockhart,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75,1.5,1.5,1.25,1.0,1.0,,,,,,,,,,,,,,,
Lyon,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Mester,,,,,,,,,,,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75
Mullinix,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
Pianalto,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Plosser,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,1.75,,,,,,,,,,,,,,,,,,,,,,,
Powell,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75,1.75,1.75,1.5,1.5,1.25,1.25,1.0,0.75,0.5,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.25,0.25,0.25
Prichard,,,,,,,,,,,,,,1.75,1.75,,,,,,,,,,,,,,,,,,,,,
Quarles,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.25,1.25,1.25,1.25,1.25,1.25,1.0,1.0,1.0,1.0,1.0
Raskin,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosengren,2.0,2.0,2.0,2.0,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.7999999999999998,1.75,1.75,1.75,1.75,1.5,1.5,1.5,1.5,1.25,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5
Stein,,,2.25,2.25,2.25,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarullo,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.0,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,
Williams,2.2,2.2,2.2,2.2,2.2,2.0,2.0,2.0999999999999996,2.0999999999999996,2.0999999999999996,1.9,1.9,2.0,1.75,1.75,1.5,1.25,1.25,1.0,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.375,0.375,0.375,0.375
Yellen,2.0,2.0,1.0,1.0,1.0,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,
