person,from_date,to_date,from,to,change,gap_days
Barkin,2018-03-21,2018-06-13,1.5,1.5,0.0,84
Barkin,2018-06-13,2018-09-26,1.5,1.5,0.0,105
Barkin,2018-09-26,2018-12-19,1.5,1.5,0.0,84
Barkin,2018-12-19,2019-03-20,1.5,1.5,0.0,91
Barkin,2019-03-20,2019-06-19,1.5,1.25,-0.25,91
Barkin,2019-06-19,2019-09-18,1.25,1.25,0.0,91
Barkin,2019-09-18,2019-12-11,1.25,1.25,0.0,84
Barkin,2020-06-10,2020-09-16,1.0,1.0,0.0,98
Barkin,2020-09-16,2020-12-16,1.0,1.0,0.0,91
Bernanke,2012-01-25,2012-04-25,2.2,2.4000000000000004,0.20000000000000018,91
Bernanke,2012-04-25,2012-06-20,2.4000000000000004,2.3,-0.10000000000000053,56
Bernanke,2012-06-20,2012-09-13,2.3,2.3,0.0,85
Bernanke,2012-09-13,2012-12-12,2.3,2.3,0.0,90
Bernanke,2012-12-12,2013-03-20,2.3,2.3,0.0,98
Bernanke,2013-03-20,2013-06-19,2.3,2.3,0.0,91
Bernanke,2013-06-19,2013-09-18,2.3,2.3,0.0,91
Bernanke,2013-09-18,2013-12-18,2.3,2.0,-0.2999999999999998,91
Bostic,2017-06-14,2017-09-20,1.0,1.0,0.0,98
Bostic,2017-09-20,2017-12-13,1.0,0.75,-0.25,84
Bostic,2017-12-13,2018-03-21,0.75,0.75,0.0,98
Bostic,2018-03-21,2018-06-13,0.75,0.75,0.0,84
Bostic,2018-06-13,2018-09-26,0.75,1.0,0.25,105
Bostic,2018-09-26,2018-12-19,1.0,1.0,0.0,84
Bostic,2018-12-19,2019-03-20,1.0,1.0,0.0,91
Bostic,2019-03-20,2019-06-19,1.0,0.75,-0.25,91
Bostic,2019-06-19,2019-09-18,0.75,0.75,0.0,91
Bostic,2019-09-18,2019-12-11,0.75,0.5,-0.25,84
Bostic,2020-06-10,2020-09-16,0.5,0.5,0.0,98
Bostic,2020-09-16,2020-12-16,0.5,0.5,0.0,91
Bowman,2018-12-19,2019-03-20,0.5,0.5,0.0,91
Bowman,2019-03-20,2019-06-19,0.5,0.5,0.0,91
Bowman,2019-06-19,2019-09-18,0.5,0.5,0.0,91
Bowman,2019-09-18,2019-12-11,0.5,0.5,0.0,84
Bowman,2020-06-10,2020-09-16,0.5,0.5,0.0,98
Bowman,2020-09-16,2020-12-16,0.5,0.5,0.0,91
Brainard,2014-09-17,2014-12-17,1.875,1.75,-0.125,91
Brainard,2014-12-17,2015-03-18,1.75,1.75,0.0,91
Brainard,2015-03-18,2015-06-17,1.75,1.75,0.0,91
Brainard,2015-06-17,2015-09-17,1.75,1.25,-0.5,92
Brainard,2015-09-17,2015-12-16,1.25,1.25,0.0,90
Brainard,2015-12-16,2016-03-16,1.25,1.0,-0.25,91
Brainard,2016-03-16,2016-06-15,1.0,0.75,-0.25,91
Brainard,2016-06-15,2016-09-21,0.75,0.5,-0.25,98
Brainard,2016-09-21,2016-12-14,0.5,0.75,0.25,84
Brainard,2016-12-14,2017-03-15,0.75,0.75,0.0,91
Brainard,2017-03-15,2017-06-14,0.75,0.75,0.0,91
Brainard,2017-06-14,2017-09-20,0.75,0.5,-0.25,98
Brainard,2017-09-20,2017-12-13,0.5,0.75,0.25,84
Brainard,2017-12-13,2018-03-21,0.75,0.75,0.0,98
Brainard,2018-03-21,2018-06-13,0.75,0.75,0.0,84
Brainard,2018-06-13,2018-09-26,0.75,1.0,0.25,105
Brainard,2018-09-26,2018-12-19,1.0,1.0,0.0,84
Brainard,2018-12-19,2019-03-20,1.0,1.0,0.0,91
Brainard,2019-03-20,2019-06-19,1.0,0.75,-0.25,91
Brainard,2019-06-19,2019-09-18,0.75,0.5,-0.25,91
Brainard,2019-09-18,2019-12-11,0.5,0.5,0.0,84
Brainard,2020-06-10,2020-09-16,0.5,0.5,0.0,98
Brainard,2020-09-16,2020-12-16,0.5,0.5,0.0,91
Bullard,2012-01-25,2012-04-25,2.25,2.25,0.0,91
Bullard,2012-04-25,2012-06-20,2.25,2.25,0.0,56
Bullard,2012-06-20,2012-09-13,2.25,2.25,0.0,85
Bullard,2012-09-13,2012-12-12,2.25,2.25,0.0,90
Bullard,2012-12-12,2013-03-20,2.25,2.25,0.0,98
Bullard,2013-03-20,2013-06-19,2.25,2.25,0.0,91
Bullard,2013-06-19,2013-09-18,2.25,2.25,0.0,91
Bullard,2013-09-18,2013-12-18,2.25,2.25,0.0,91
Bullard,2013-12-18,2014-03-19,2.25,2.25,0.0,91
Bullard,2014-03-19,2014-06-18,2.25,2.25,0.0,91
Bullard,2014-06-18,2014-09-17,2.25,2.25,0.0,91
Bullard,2014-09-17,2014-12-17,2.25,2.25,0.0,91
Bullard,2014-12-17,2015-03-18,2.25,2.0,-0.25,91
Bullard,2015-03-18,2015-06-17,2.0,2.0,0.0,91
Bullard,2015-06-17,2015-09-17,2.0,2.0,0.0,92
Bullard,2015-09-17,2015-12-16,2.0,2.0,0.0,90
Bullard,2015-12-16,2016-03-16,2.0,2.0,0.0,91
Clarida,2018-09-26,2018-12-19,0.5,0.5,0.0,84
Clarida,2018-12-19,2019-03-20,0.5,0.5,0.0,91
Clarida,2019-03-20,2019-06-19,0.5,0.5,0.0,91
Clarida,2019-06-19,2019-09-18,0.5,0.5,0.0,91
Clarida,2019-09-18,2019-12-11,0.5,0.5,0.0,84
Clarida,2020-06-10,2020-09-16,0.5,0.5,0.0,98
Clarida,2020-09-16,2020-12-16,0.5,0.5,0.0,91
Daly,2018-12-19,2019-03-20,0.75,0.75,0.0,91
Daly,2019-03-20,2019-06-19,0.75,0.5,-0.25,91
Daly,2019-06-19,2019-09-18,0.5,0.5,0.0,91
Daly,2019-09-18,2019-12-11,0.5,0.5,0.0,84
Daly,2020-06-10,2020-09-16,0.2999999999999998,0.2999999999999998,0.0,98
Daly,2020-09-16,2020-12-16,0.2999999999999998,0.2999999999999998,0.0,91
Dudley,2012-01-25,2012-04-25,2.0,1.5,-0.5,91
Dudley,2012-04-25,2012-06-20,1.5,1.5,0.0,56
Dudley,2012-06-20,2012-09-13,1.5,1.5,0.0,85
Dudley,2012-09-13,2012-12-12,1.5,1.5,0.0,90
