date,panel,neutral_real_p25,neutral_real_med,neutral_real_p75,file
2016-04-01,SPD,0.0,0.05,1.0,2016-04_apr-2016-results.pdf
2016-04-01,SMP,0.0,0.31,0.94,2016-04_apr-results-mp.pdf
2016-07-01,SPD,0.0,0.25,0.9,2016-07_jul-2016-results.pdf
2016-07-01,SMP,0.0,0.25,1.0,2016-07_jul-results-mp.pdf
2016-11-01,SMP,0.0,0.25,1.0,2016-11_Nov-2016-SMP-Results.pdf
2016-11-01,SPD,0.0,0.25,1.0,2016-11_Nov-2016-SPD-Results.pdf
2016-12-01,SMP,0.0,0.25,0.63,2016-12_Dec-2016-Flash-SMP-Results-Public-Release.pdf
2016-12-01,SPD,0.0,0.0,0.75,2016-12_Dec-2016-SPD-Results-Public-Release.pdf
2017-05-01,SMP,0.0,0.25,0.63,2017-05_may-2017-SMP-Results-Public-Release.pdf
2017-05-01,SPD,0.0,0.0,0.5,2017-05_may-2017-spd-results-public-release.pdf
2017-07-01,SMP,0.0,0.25,0.5,2017-07_jul-2017-smp-results.pdf
2017-07-01,SPD,0.0,0.06,0.5,2017-07_jul-2017-spd-results.pdf
2017-10-01,SMP,0.0,0.25,0.5,2017-10_oct-nov-2017-smp-results.pdf
2017-10-01,SPD,0.0,0.0,0.5,2017-10_oct-nov-2017-spd-results.pdf
2018-01-01,SMP,0.0,0.25,0.5,2018-01_jan-2018-smp-results.pdf
2018-01-01,SPD,0.0,0.25,0.63,2018-01_jan-2018-spd-results.pdf
2018-07-01,SMP,0.25,0.5,0.75,2018-07_jul-aug-2018-smp-results.pdf
2018-07-01,SPD,0.13,0.44,0.75,2018-07_jul-aug-2018-spd-results.pdf
2019-01-01,SMP,0.5,0.5,0.75,2019-01_jan-2019-smp-results.pdf
2019-01-01,SPD,0.38,0.75,1.0,2019-01_jan-2019-spd-results.pdf
2019-07-01,SMP,0.5,0.5,0.66,2019-07_jul-2019-smp-results.pdf
2019-07-01,SPD,0.23,0.51,1.0,2019-07_jul-2019-spd-results.pdf
2020-01-01,SMP,0.0,0.5,0.5,2020-01_jan-2020-smp-results.pdf
2020-01-01,SPD,0.01,0.5,0.88,2020-01_jan-2020-spd-results.pdf
2020-07-01,SMP,-0.21,0.25,0.5,2020-07_jul-2020-smp-results.pdf
2020-07-01,SPD,-0.25,0.0,0.5,2020-07_jul-2020-spd-results.pdf
