date,horizon,rate_level,count,convention
2012-01-25,2012,0.25,14,target_rate
2012-01-25,2012,0.5,1,target_rate
2012-01-25,2012,1.0,2,target_rate
2012-01-25,2013,0.25,11,target_rate
2012-01-25,2013,0.5,1,target_rate
2012-01-25,2013,0.75,2,target_rate
2012-01-25,2013,1.0,1,target_rate
2012-01-25,2013,1.75,1,target_rate
2012-01-25,2013,2.0,1,target_rate
2012-01-25,2014,0.25,6,target_rate
2012-01-25,2014,0.5,2,target_rate
2012-01-25,2014,0.75,1,target_rate
2012-01-25,2014,1.0,2,target_rate
2012-01-25,2014,1.5,1,target_rate
2012-01-25,2014,2.0,1,target_rate
2012-01-25,2014,2.5,3,target_rate
2012-01-25,2014,2.75,1,target_rate
2012-01-25,LR,3.75,1,target_rate
2012-01-25,LR,4.0,7,target_rate
2012-01-25,LR,4.25,3,target_rate
2012-01-25,LR,4.5,6,target_rate
2012-04-25,2012,0.25,14,target_rate
2012-04-25,2012,0.5,1,target_rate
2012-04-25,2012,1.0,1,target_rate
2012-04-25,2012,1.25,1,target_rate
2012-04-25,2013,0.25,11,target_rate
2012-04-25,2013,0.75,1,target_rate
2012-04-25,2013,1.0,2,target_rate
2012-04-25,2013,1.25,1,target_rate
2012-04-25,2013,1.75,2,target_rate
2012-04-25,2014,0.25,4,target_rate
2012-04-25,2014,0.5,3,target_rate
2012-04-25,2014,1.0,2,target_rate
2012-04-25,2014,1.5,1,target_rate
2012-04-25,2014,2.0,2,target_rate
2012-04-25,2014,2.25,1,target_rate
2012-04-25,2014,2.5,3,target_rate
2012-04-25,2014,2.75,1,target_rate
2012-04-25,LR,3.5,1,target_rate
2012-04-25,LR,3.75,1,target_rate
2012-04-25,LR,4.0,6,target_rate
2012-04-25,LR,4.25,2,target_rate
2012-04-25,LR,4.5,7,target_rate
2012-06-20,2012,0.25,16,target_rate
2012-06-20,2012,0.5,2,target_rate
2012-06-20,2012,0.75,1,target_rate
2012-06-20,2013,0.25,13,target_rate
2012-06-20,2013,0.5,1,target_rate
2012-06-20,2013,0.75,1,target_rate
2012-06-20,2013,1.0,1,target_rate
2012-06-20,2013,1.25,2,target_rate
2012-06-20,2013,1.75,1,target_rate
2012-06-20,2014,0.25,6,target_rate
2012-06-20,2014,0.5,4,target_rate
2012-06-20,2014,0.75,1,target_rate
2012-06-20,2014,1.5,2,target_rate
2012-06-20,2014,1.75,2,target_rate
2012-06-20,2014,2.0,1,target_rate
2012-06-20,2014,2.5,1,target_rate
2012-06-20,2014,2.75,1,target_rate
2012-06-20,2014,3.0,1,target_rate
2012-06-20,LR,3.0,1,target_rate
2012-06-20,LR,3.5,1,target_rate
2012-06-20,LR,3.75,1,target_rate
2012-06-20,LR,4.0,6,target_rate
2012-06-20,LR,4.25,5,target_rate
2012-06-20,LR,4.5,5,target_rate
2012-09-13,2012,0.25,18,target_rate
2012-09-13,2012,0.5,1,target_rate
2012-09-13,2013,0.25,15,target_rate
2012-09-13,2013,0.5,2,target_rate
2012-09-13,2013,0.75,1,target_rate
2012-09-13,2013,1.75,1,target_rate
2012-09-13,2014,0.25,13,target_rate
2012-09-13,2014,1.5,2,target_rate
2012-09-13,2014,1.75,2,target_rate
2012-09-13,2014,2.5,1,target_rate
2012-09-13,2014,3.0,1,target_rate
2012-09-13,2015,0.25,1,target_rate
2012-09-13,2015,0.5,2,target_rate
2012-09-13,2015,0.75,3,target_rate
2012-09-13,2015,1.0,4,target_rate
2012-09-13,2015,1.5,3,target_rate
2012-09-13,2015,2.5,2,target_rate
2012-09-13,2015,3.5,1,target_rate
2012-09-13,2015,3.75,1,target_rate
2012-09-13,2015,4.0,1,target_rate
2012-09-13,2015,4.5,1,target_rate
2012-09-13,LR,3.0,1,target_rate
2012-09-13,LR,3.5,1,target_rate
2012-09-13,LR,3.75,2,target_rate
2012-09-13,LR,4.0,6,target_rate
2012-09-13,LR,4.25,5,target_rate
2012-09-13,LR,4.5,4,target_rate
2012-12-12,2012,0.25,19,target_rate
2012-12-12,2013,0.25,17,target_rate
2012-12-12,2013,0.5,1,target_rate
2012-12-12,2013,1.0,1,target_rate
2012-12-12,2014,0.25,14,target_rate
2012-12-12,2014,0.5,1,target_rate
2012-12-12,2014,1.5,2,target_rate
2012-12-12,2014,1.75,1,target_rate
2012-12-12,2014,2.75,1,target_rate
