date,compilation,key,n_lr
2012-01-25,ok,ok n=17,17
2012-04-25,ok,ok n=17,17
2012-06-20,ok,ok n=19,19
2012-09-13,ok,ok n=19,19
2012-12-12,ok,ok n=19,19
2013-03-20,ok,ok n=19,19
2013-06-19,ok,ok n=19,19
2013-09-18,ok,ok n=17,17
2013-12-18,ok,ok n=17,17
2014-03-19,ok,ok n=16,16
2014-06-18,ok,ok n=16,16
2014-09-17,ok,ok n=17,17
2014-12-17,ok,ok n=17,17
2015-03-18,ok,ok n=17,17
2015-06-17,ok,ok n=17,17
2015-09-17,ok,ok n=17,17
2015-12-16,ok,ok n=17,17
2016-03-16,ok,ok n=17,17
2016-06-15,ok,ok n=17,16
2016-09-21,ok,ok n=17,16
2016-12-14,ok,ok n=17,16
2017-03-15,ok,ok n=17,16
2017-06-14,ok,ok n=16,15
2017-09-20,ok,ok n=16,15
2017-12-13,ok,ok n=16,15
2018-03-21,ok,ok n=15,14
2018-06-13,ok,ok n=15,14
2018-09-26,ok,ok n=16,15
2018-12-19,ok,ok n=17,16
2019-03-20,ok,ok n=17,16
2019-06-19,ok,ok n=17,16
2019-09-18,ok,ok n=17,16
2019-12-11,ok,ok n=17,16
2020-06-10,ok,ok n=17,16
2020-09-16,ok,ok n=17,16
2020-12-16,ok,ok n=17,16
2021-03-17,not_released,,0
2021-06-16,not_released,,0
2021-09-22,not_released,,0
2021-12-15,not_released,,0
2022-03-16,not_released,,0
2022-06-15,not_released,,0
2022-09-21,not_released,,0
2022-12-14,not_released,,0
2023-03-22,not_released,,0
2023-06-14,not_released,,0
2023-09-20,not_released,,0
2023-12-13,not_released,,0
2024-03-20,not_released,,0
2024-06-12,not_released,,0
2024-09-18,not_released,,0
2024-12-18,not_released,,0
2025-03-19,not_released,,0
2025-06-18,not_released,,0
2025-09-17,not_released,,0
2025-12-10,not_released,,0
2026-03-18,not_released,,0
