date,proj_id,person,participant_raw,horizon,gdp,unemp,pce,core_pce,ffr,ffr_exact
2012-01-25,1,Rosengren,Eric Rosengren Boston FRB,2012,2.4,8.5,1.5,1.5,0.13,0.125
2012-01-25,2,Pianalto,Sandra Pianalto Cleveland FRB,2012,2.5,8.2,1.5,1.5,0.13,0.125
2012-01-25,3,Raskin,Sarah Bloom Raskin Board of Governors,2012,2.1,8.6,1.4,1.5,0.13,0.125
2012-01-25,4,Bernanke,Chairman Bernanke Board of Governors,2012,2.3,8.4,1.6,1.5,0.13,0.125
2012-01-25,5,Lockhart,Dennis P Lockhart Atlanta FRB,2012,2.7,8.3,1.9,1.8,0.13,0.125
2012-01-25,6,Lacker,Jeffrey Lacker Richmond FRB,2012,2.3,8.5,1.8,1.9,0.13,0.125
2012-01-25,7,Duke,Elizabeth A Duke Board of Governors,2012,2.9,8.3,1.4,1.5,0.13,0.125
2012-01-25,8,Williams,John C Williams San Francisco FRB,2012,2.2,8.3,1.5,1.5,0.13,0.125
2012-01-25,9,Yellen,Janet Yellen Board of Governors,2012,2.1,8.6,1.4,1.5,0.13,0.125
2012-01-25,10,Kocherlakota,Narayana Kocherlakota Minneapolis FRB,2012,2.6,8.2,1.8,1.9,0.5,0.5
2012-01-25,11,Bullard,James Bullard St. Louis FRB,2012,3.0,7.8,2.5,1.8,0.13,0.125
2012-01-25,12,Dudley,William Dudley New York FRB,2012,2.6,8.0,1.3,1.3,0.13,0.125
2012-01-25,13,Evans,Charles L Evans Chicago FRB,2012,2.6,8.4,1.4,1.5,0.13,0.125
2012-01-25,14,Fisher,Richard Fisher Dallas FRB,2012,2.5,8.4,1.8,1.8,1.0,1.0
2012-01-25,15,George,Esther George Kansas City FRB,2012,2.4,8.3,1.7,1.6,0.13,0.125
2012-01-25,16,Tarullo,Daniel Tarullo Board of Governors,2012,2.2,8.6,1.5,1.6,0.13,0.125
2012-01-25,17,Plosser,Charles Plosser Philadelphia FRB,2012,3.0,7.8,2.0,2.0,1.0,1.0
2012-01-25,1,Rosengren,Eric Rosengren Boston FRB,2013,3.0,8.1,1.4,1.4,0.13,0.125
2012-01-25,2,Pianalto,Sandra Pianalto Cleveland FRB,2013,2.9,7.7,1.8,1.6,0.13,0.125
2012-01-25,3,Raskin,Sarah Bloom Raskin Board of Governors,2013,2.4,8.2,1.4,1.4,0.13,0.125
2012-01-25,4,Bernanke,Chairman Bernanke Board of Governors,2013,2.7,8.1,1.8,1.6,0.13,0.125
2012-01-25,5,Lockhart,Dennis P Lockhart Atlanta FRB,2013,3.0,7.7,2.0,1.9,0.13,0.125
2012-01-25,6,Lacker,Jeffrey Lacker Richmond FRB,2013,2.8,8.1,2.0,2.0,0.75,0.75
2012-01-25,7,Duke,Elizabeth A Duke Board of Governors,2013,3.4,7.3,1.4,1.5,0.13,0.125
2012-01-25,8,Williams,John C Williams San Francisco FRB,2013,2.8,8.1,1.4,1.5,0.13,0.125
2012-01-25,9,Yellen,Janet Yellen Board of Governors,2013,2.9,8.0,1.4,1.5,0.13,0.125
