date,lr_mean,lr_med,n,y1_mean,y1_med,n1,pi_lr,rstar
2012-01-25,4.205882352941177,4.25,17,0.5588235294117647,0.25,17,2.0,2.2058823529411766
2012-04-25,4.1911764705882355,4.25,17,0.6029411764705882,0.25,17,2.0,2.1911764705882355
2012-06-20,4.105263157894737,4.25,19,0.5131578947368421,0.25,19,2.0,2.105263157894737
2012-09-13,4.065789473684211,4.0,19,0.3815789473684211,0.25,19,2.0,2.0657894736842106
2012-12-12,4.0394736842105265,4.0,19,0.3026315789473684,0.25,19,2.0,2.0394736842105265
2013-03-20,4.0131578947368425,4.0,19,0.5526315789473685,0.25,19,2.0,2.0131578947368425
2013-06-19,4.0131578947368425,4.0,19,0.4342105263157895,0.25,19,2.0,2.0131578947368425
2013-09-18,3.926470588235294,4.0,17,0.39705882352941174,0.25,17,2.0,1.926470588235294
2013-12-18,3.8823529411764706,4.0,17,0.3382352941176471,0.25,17,2.0,1.8823529411764706
2014-03-19,3.875,4.0,16,1.125,1.0,16,2.0,1.875
2014-06-18,3.78125,3.75,16,1.203125,1.125,16,2.0,1.78125
2014-09-17,3.7941176470588234,3.75,17,1.2720588235294117,1.375,17,2.0,1.7941176470588234
2014-12-17,3.7794117647058822,3.75,17,1.125,1.125,17,2.0,1.7794117647058822
2015-03-18,3.661764705882353,3.75,17,2.0220588235294117,1.875,17,2.0,1.6617647058823528
2015-06-17,3.6470588235294117,3.75,17,1.75,1.625,17,2.0,1.6470588235294117
2015-09-17,3.463235294117647,3.5,17,1.578125,1.5,16,2.0,1.4632352941176472
2015-12-16,3.411764705882353,3.5,17,1.286764705882353,1.375,17,2.0,1.4117647058823528
2016-03-16,3.3088235294117645,3.25,17,2.0441176470588234,1.875,17,2.0,1.3088235294117645
2016-06-15,3.140625,3.0,16,1.6323529411764706,1.625,17,2.0,1.140625
2016-09-21,2.90625,2.875,16,1.3088235294117647,1.125,17,2.0,0.90625
2016-12-14,2.953125,3.0,16,1.3676470588235294,1.375,17,2.0,0.953125
2017-03-15,2.96875,3.0,16,2.3161764705882355,2.125,17,2.0,0.96875
2017-06-14,2.9166666666666665,3.0,15,2.2265625,2.125,16,2.0,0.9166666666666665
2017-09-20,2.783333333333333,2.75,15,2.0390625,2.125,16,2.0,0.7833333333333332
2017-12-13,2.783333333333333,2.75,15,2.015625,2.125,16,2.0,0.7833333333333332
2018-03-21,2.8660714285714284,2.875,14,2.9166666666666665,2.875,15,2.0,0.8660714285714284
2018-06-13,2.8660714285714284,2.875,14,2.9583333333333335,3.125,15,2.0,0.8660714285714284
2018-09-26,2.8833333333333333,3.0,15,3.015625,3.125,16,2.0,0.8833333333333333
2018-12-19,2.84375,2.75,16,2.8455882352941178,2.875,17,2.0,0.84375
2019-03-20,2.796875,2.75,16,2.6691176470588234,2.625,17,2.0,0.796875
2019-06-19,2.6953125,2.5,16,2.213235294117647,2.125,17,2.0,0.6953125
2019-09-18,2.5703125,2.5,16,1.875,1.875,17,2.0,0.5703125
2019-12-11,2.5390625,2.5,16,1.6838235294117647,1.625,17,2.0,0.5390625
2020-06-10,2.4921875,2.5,16,0.125,0.125,17,2.0,0.4921875
2020-09-16,2.4921875,2.5,16,0.125,0.125,17,2.0,0.4921875
2020-12-16,2.4921875,2.5,16,0.125,0.125,17,2.0,0.4921875
2021-03-17,2.4779411764705883,2.5,17,0.19444444444444445,0.125,18,2.0,0.4779411764705883
2021-06-16,2.4779411764705883,2.5,17,0.25,0.125,18,2.0,0.4779411764705883
2021-09-22,2.463235294117647,2.5,17,0.2916666666666667,0.25,18,2.0,0.4632352941176472
2021-12-15,2.463235294117647,2.5,17,0.8055555555555556,0.875,18,2.0,0.4632352941176472
2022-03-16,2.425,2.375,15,2.8125,2.75,16,2.0,0.4249999999999998
2022-06-15,2.4338235294117645,2.5,17,3.7777777777777777,3.75,18,2.0,0.4338235294117645
2022-09-21,2.4722222222222223,2.5,18,4.5855263157894735,4.625,19,2.0,0.4722222222222223
2022-12-14,2.5069444444444446,2.5,18,5.217105263157895,5.125,19,2.0,0.5069444444444446
2023-03-22,2.588235294117647,2.5,17,4.402777777777778,4.25,18,2.0,0.5882352941176472
2023-06-14,2.661764705882353,2.5,17,4.75,4.625,18,2.0,0.6617647058823528
2023-09-20,2.7569444444444446,2.5,18,5.046052631578948,5.125,19,2.0,0.7569444444444446
2023-12-13,2.7291666666666665,2.5,18,4.703947368421052,4.625,19,2.0,0.7291666666666665
2024-03-20,2.8125,2.5625,18,3.7828947368421053,3.875,19,2.0,0.8125
2024-06-12,2.9078947368421053,2.75,19,4.1644736842105265,4.125,19,2.0,0.9078947368421053
2024-09-18,2.9934210526315788,2.875,19,3.348684210526316,3.375,19,2.0,0.9934210526315788
2024-12-18,3.111842105263158,3.0,19,3.835526315789474,3.875,19,2.0,1.111842105263158
2025-03-19,3.111842105263158,3.0,19,3.4539473684210527,3.375,19,2.0,1.111842105263158
2025-06-18,3.111842105263158,3.0,19,3.5065789473684212,3.625,19,2.0,1.111842105263158
2025-09-17,3.1184210526315788,3.0,19,3.2960526315789473,3.375,19,2.0,1.1184210526315788
2025-12-10,3.1315789473684212,3.0,19,3.2960526315789473,3.375,19,2.0,1.1315789473684212
2026-03-18,3.164473684210526,3.125,19,3.1907894736842106,3.125,19,2.0,1.164473684210526
