meeting_date,projections_html,compilation_pdf
2012-01-25,"ok (4 horizons, target_rate)","ok (71 rows, 17 names)"
2012-04-25,"ok (4 horizons, target_rate)","ok (69 rows, 17 names)"
2012-06-20,"ok (4 horizons, target_rate)","ok (82 rows, 19 names)"
2012-09-13,"ok (5 horizons, target_rate)","ok (95 rows, 19 names)"
2012-12-12,"ok (5 horizons, target_rate)","ok (96 rows, 19 names)"
2013-03-20,"ok (4 horizons, target_rate)","ok (77 rows, 19 names)"
2013-06-19,"ok (4 horizons, target_rate)","ok (77 rows, 19 names)"
2013-09-18,"ok (5 horizons, target_rate)","ok (85 rows, 17 names)"
2013-12-18,"ok (5 horizons, target_rate)","ok (85 rows, 17 names)"
2014-03-19,"ok (4 horizons, target_rate)","ok (64 rows, 16 names)"
2014-06-18,"ok (4 horizons, target_rate)","ok (64 rows, 16 names)"
2014-09-17,"ok (5 horizons, midpoint)","ok (85 rows, 17 names)"
2014-12-17,"ok (5 horizons, midpoint)","ok (85 rows, 17 names)"
2015-03-18,"ok (4 horizons, midpoint)","ok (68 rows, 17 names)"
2015-06-17,"ok (4 horizons, midpoint)","ok (68 rows, 17 names)"
2015-09-17,"ok (5 horizons, midpoint)","ok (83 rows, 17 names)"
2015-12-16,"ok (5 horizons, midpoint)","ok (85 rows, 17 names)"
2016-03-16,"ok (4 horizons, midpoint)","ok (68 rows, 17 names)"
2016-06-15,"ok (4 horizons, midpoint)","ok (67 rows, 17 names)"
2016-09-21,"ok (5 horizons, midpoint)","ok (84 rows, 17 names)"
2016-12-14,"ok (5 horizons, midpoint)","ok (84 rows, 17 names)"
2017-03-15,"ok (4 horizons, midpoint)","ok (67 rows, 17 names)"
2017-06-14,"ok (4 horizons, midpoint)","ok (63 rows, 16 names)"
2017-09-20,"ok (5 horizons, midpoint)","ok (79 rows, 16 names)"
2017-12-13,"ok (5 horizons, midpoint)","ok (79 rows, 16 names)"
2018-03-21,"ok (4 horizons, midpoint)","ok (59 rows, 15 names)"
2018-06-13,"ok (4 horizons, midpoint)","ok (59 rows, 15 names)"
2018-09-26,"ok (5 horizons, midpoint)","ok (79 rows, 16 names)"
2018-12-19,"ok (5 horizons, midpoint)","ok (84 rows, 17 names)"
2019-03-20,"ok (4 horizons, midpoint)","ok (67 rows, 17 names)"
2019-06-19,"ok (4 horizons, midpoint)","ok (67 rows, 17 names)"
2019-09-18,"ok (5 horizons, midpoint)","ok (84 rows, 17 names)"
2019-12-11,"ok (5 horizons, midpoint)","ok (84 rows, 17 names)"
2020-06-10,"ok (4 horizons, midpoint)","ok (67 rows, 17 names)"
2020-09-16,"ok (5 horizons, midpoint)","ok (84 rows, 17 names)"
2020-12-16,"ok (5 horizons, midpoint)","ok (84 rows, 17 names)"
2021-03-17,"ok (4 horizons, midpoint)",not_released
2021-06-16,"ok (4 horizons, midpoint)",not_released
2021-09-22,"ok (5 horizons, midpoint)",not_released
2021-12-15,"ok (5 horizons, midpoint)",not_released
2022-03-16,"ok (4 horizons, midpoint)",not_released
2022-06-15,"ok (4 horizons, midpoint)",not_released
2022-09-21,"ok (5 horizons, midpoint)",not_released
2022-12-14,"ok (5 horizons, midpoint)",not_released
2023-03-22,"ok (4 horizons, midpoint)",not_released
2023-06-14,"ok (4 horizons, midpoint)",not_released
2023-09-20,"ok (5 horizons, midpoint)",not_released
2023-12-13,"ok (5 horizons, midpoint)",not_released
2024-03-20,"ok (4 horizons, midpoint)",not_released
2024-06-12,"ok (4 horizons, midpoint)",not_released
2024-09-18,"ok (5 horizons, midpoint)",not_released
2024-12-18,"ok (5 horizons, midpoint)",not_released
2025-03-19,"ok (4 horizons, midpoint)",not_released
2025-06-18,"ok (4 horizons, midpoint)",not_released
2025-09-17,"ok (5 horizons, midpoint)",not_released
2025-12-10,"ok (5 horizons, midpoint)",not_released
2026-03-18,"ok (4 horizons, midpoint)",not_released
