kind,year,month,url,path,bytes,status
data,2023.0,7.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2023/jul-2023-data.xlsx,..\spd\data\2023-07_jul-2023-data.xlsx,158238,ok
data,2023.0,9.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2023/sep-2023-data.xlsx,..\spd\data\2023-09_sep-2023-data.xlsx,164030,ok
data,2023.0,10.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2023/oct-2023-data.xlsx,..\spd\data\2023-10_oct-2023-data.xlsx,162836,ok
data,2023.0,12.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2023/dec-2023-data.xlsx,..\spd\data\2023-12_dec-2023-data.xlsx,159229,ok
data,2024.0,1.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2024/jan-2024-data.xlsx,..\spd\data\2024-01_jan-2024-data.xlsx,0,"error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
data,2024.0,3.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2024/mar-2024-data.xlsx,..\spd\data\2024-03_mar-2024-data.xlsx,176130,ok
data,2024.0,4.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2024/apr-may-2024-data.xlsx,..\spd\data\2024-04_apr-may-2024-data.xlsx,165387,ok
data,2024.0,6.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2024/jun-2024-data.xlsx,..\spd\data\2024-06_jun-2024-data.xlsx,178830,ok
data,2024.0,7.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2024/jul-2024-data.xlsx,..\spd\data\2024-07_jul-2024-data.xlsx,149611,ok
data,2024.0,9.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2024/sep-2024-data.xlsx,..\spd\data\2024-09_sep-2024-data.xlsx,177812,ok
data,2024.0,11.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2024/nov-2024-data.xlsx,..\spd\data\2024-11_nov-2024-data.xlsx,173730,ok
data,2024.0,12.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2024/dec-2024-data.xlsx,..\spd\data\2024-12_dec-2024-data.xlsx,201462,ok
data,2025.0,1.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2025/jan-2025-data.xlsx,..\spd\data\2025-01_jan-2025-data.xlsx,230803,ok
data,2025.0,3.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2025/mar-2025-data.xlsx,..\spd\data\2025-03_mar-2025-data.xlsx,213889,ok
data,2025.0,5.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2025/may-2025-data.xlsx,..\spd\data\2025-05_may-2025-data.xlsx,233960,ok
data,2025.0,6.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2025/jun-2025-data.xlsx,..\spd\data\2025-06_jun-2025-data.xlsx,174197,ok
data,2025.0,7.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2025/jul-2025-data.xlsx,..\spd\data\2025-07_jul-2025-data.xlsx,171749,ok
data,2025.0,9.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2025/sep-2025-data.xlsx,..\spd\data\2025-09_sep-2025-data.xlsx,191451,ok
data,2025.0,10.0,https://www.newyorkfed.org/medialibrary/media/markets/survey/2025/oct-2025-data.xlsx,..\spd\data\2025-10_oct-2025-data.xlsx,176036,ok
