n,kind,b,se
1,y,1.4072941607059943,0.5614371693529543
1,rn,0.9549913839021971,0.44768409081526817
1,tp,0.45230277680379677,0.4980881865684256
2,y,2.247967475144826,0.8754439664301571
2,rn,1.4566178704359123,0.5761071014598581
2,tp,0.7913496047089146,0.6350021114720528
3,y,2.841731107277076,0.897691975225471
3,rn,1.6501170192064472,0.6317747833352905
3,tp,1.1916140880706292,0.5663214448672454
4,y,3.182778454952614,0.8601088288404202
4,rn,1.7129796593684208,0.6422975754756154
4,tp,1.4697987955841925,0.5119137547044561
5,y,3.338694611438493,0.8217666121514303
5,rn,1.7154444437232017,0.6328210832173784
5,tp,1.6232501677152904,0.5050627605766008
6,y,3.3793235511819235,0.7915131514129045
6,rn,1.6884997456629431,0.614779150288951
6,tp,1.6908238055189808,0.5251434103016484
7,y,3.3543833535779415,0.7699472389627536
7,rn,1.646866939122876,0.5933145693431205
7,tp,1.7075164144550652,0.5554497070134674
8,y,3.2950224169394273,0.7565643540842841
8,rn,1.5980231707871042,0.5708053228090104
8,tp,1.6969992461523224,0.5886115760545341
9,y,3.219629757898007,0.7503633121192766
9,rn,1.545988691148082,0.5483781335789367
9,tp,1.673641066749925,0.6216973399763982
10,y,3.13867358620911,0.7500004849871111
10,rn,1.493022762387229,0.5265705435803366
10,tp,1.6456508238218812,0.6534308054388847
