date,i_star_fed,i_star_spd,gap_bp
2013-03-20,4.0,4.0,0.0
2013-06-19,4.0,4.0,0.0
2013-09-18,4.0,4.0,0.0
2014-09-17,3.75,3.5,25.0
2014-12-17,3.75,3.5,25.0
2015-03-18,3.75,3.5,25.0
2015-06-17,3.75,3.5,25.0
2015-09-17,3.5,3.38,12.00000000000001
2015-12-16,3.5,3.25,25.0
2016-03-16,3.25,3.25,0.0
2016-06-15,3.0,3.13,-12.99999999999999
2016-09-21,2.875,3.0,-12.5
2016-12-14,3.0,2.75,25.0
2017-03-15,3.0,3.0,0.0
2017-06-14,3.0,2.88,12.00000000000001
2017-09-20,2.75,2.75,0.0
2017-12-13,2.75,2.75,0.0
2018-03-21,2.875,2.75,12.5
2018-06-13,2.875,2.75,12.5
2018-09-26,3.0,2.75,25.0
2018-12-19,2.75,2.88,-12.99999999999999
2019-03-20,2.75,2.75,0.0
2019-06-19,2.5,2.69,-18.999999999999993
2019-09-18,2.5,2.5,0.0
2019-12-11,2.5,2.5,0.0
2020-06-10,2.5,2.25,25.0
2020-09-16,2.5,2.25,25.0
2020-12-16,2.5,2.25,25.0
2021-03-17,2.5,2.25,25.0
2021-06-16,2.5,2.31,18.999999999999993
2021-09-22,2.5,2.25,25.0
2021-12-15,2.5,2.25,25.0
2022-06-15,2.5,2.38,12.00000000000001
2022-09-21,2.5,2.38,12.00000000000001
2023-09-20,2.5,2.56,-6.000000000000005
2024-03-20,2.5625,2.75,-18.75
2024-09-18,2.875,2.88,-0.49999999999998934
2024-12-18,3.0,3.1300000000000003,-13.000000000000034
2025-03-19,3.0,3.1300000000000003,-13.000000000000034
2025-06-18,3.0,3.1300000000000003,-13.000000000000034
2025-09-17,3.0,3.1300000000000003,-13.000000000000034
2026-03-18,3.125,3.1300000000000003,-0.5000000000000338
