date,i_star_p25,i_star_spd,i_star_p75,pi_star_spd,pi_source_spd,source,rstar_spd,i_star_iqr_spd
2013-01-01,4.0,4.0,4.0,2.0,assumed,results_pdf,2.0,0.0
2013-03-01,3.75,4.0,4.0,2.0,assumed,results_pdf,2.0,0.25
2013-04-01,3.75,4.0,4.0,2.0,assumed,results_pdf,2.0,0.25
2013-06-01,3.75,4.0,4.0,2.0,assumed,results_pdf,2.0,0.25
2013-07-01,3.5,4.0,4.0,2.0,assumed,results_pdf,2.0,0.5
2013-09-01,3.5,4.0,4.0,2.0,assumed,results_pdf,2.0,0.5
2014-09-01,3.5,3.5,4.0,2.0,assumed,results_pdf,1.5,0.5
2014-10-01,3.5,3.5,4.0,2.0,assumed,results_pdf,1.5,0.5
2014-12-01,3.5,3.5,4.0,2.0,assumed,results_pdf,1.5,0.5
2015-01-01,3.5,3.5,4.0,2.0,assumed,results_pdf,1.5,0.5
2015-03-01,3.25,3.5,3.75,2.0,assumed,results_pdf,1.5,0.5
2015-04-01,3.25,3.5,3.75,2.0,assumed,results_pdf,1.5,0.5
2015-06-01,3.25,3.5,3.75,2.0,assumed,results_pdf,1.5,0.5
2015-07-01,3.25,3.38,3.75,2.0,assumed,results_pdf,1.38,0.5
2015-09-01,3.0,3.38,3.75,2.0,assumed,results_pdf,1.38,0.75
2015-10-01,3.0,3.25,3.5,2.0,assumed,results_pdf,1.25,0.5
2015-12-01,3.0,3.25,3.5,2.0,assumed,results_pdf,1.25,0.5
2016-01-01,2.9,3.25,3.5,2.0,assumed,results_pdf,1.25,0.6000000000000001
2016-03-01,3.0,3.25,3.38,2.0,assumed,results_pdf,1.25,0.3799999999999999
2016-04-01,2.9,3.25,3.25,2.0,assumed,results_pdf,1.25,0.3500000000000001
2016-06-01,2.75,3.13,3.25,2.0,assumed,results_pdf,1.13,0.5
2016-07-01,2.63,3.0,3.25,2.0,assumed,results_pdf,1.0,0.6200000000000001
2016-09-01,2.5,3.0,3.0,2.0,assumed,results_pdf,1.0,0.5
2016-11-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2016-12-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2017-01-01,2.5,3.0,3.0,2.0,assumed,results_pdf,1.0,0.5
2017-03-01,2.63,3.0,3.0,2.0,assumed,results_pdf,1.0,0.3700000000000001
2017-05-01,2.63,3.0,3.0,2.0,assumed,results_pdf,1.0,0.3700000000000001
2017-06-01,2.5,2.88,3.0,2.0,assumed,results_pdf,0.8799999999999999,0.5
2017-07-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2017-09-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2017-10-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2017-12-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2018-01-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2018-03-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2018-05-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2018-06-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2018-07-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2018-09-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2018-11-01,2.5,2.88,3.0,2.0,assumed,results_pdf,0.8799999999999999,0.5
2018-12-01,2.5,2.88,3.0,2.0,assumed,results_pdf,0.8799999999999999,0.5
2019-01-01,2.5,2.75,3.0,2.0,assumed,results_pdf,0.75,0.5
2019-03-01,2.5,2.75,2.88,2.0,assumed,results_pdf,0.75,0.3799999999999999
2019-04-01,2.5,2.75,2.88,2.0,assumed,results_pdf,0.75,0.3799999999999999
2019-06-01,2.5,2.69,2.81,2.0,assumed,results_pdf,0.69,0.31
2019-07-01,2.31,2.5,2.75,2.0,assumed,results_pdf,0.5,0.4399999999999999
2019-09-01,2.25,2.5,2.56,2.0,assumed,results_pdf,0.5,0.31
2019-10-01,2.25,2.5,2.56,2.0,assumed,results_pdf,0.5,0.31
2019-12-01,2.25,2.5,2.56,2.0,assumed,results_pdf,0.5,0.31
2020-01-01,2.25,2.4,2.56,2.0,assumed,results_pdf,0.3999999999999999,0.31
2020-03-01,2.06,2.25,2.56,2.0,assumed,results_pdf,0.25,0.5
2020-04-01,2.0,2.19,2.5,2.0,assumed,results_pdf,0.1899999999999999,0.5
2020-06-01,2.0,2.25,2.5,2.0,assumed,results_pdf,0.25,0.5
2020-07-01,2.0,2.25,2.5,2.0,assumed,results_pdf,0.25,0.5
2020-09-01,2.0,2.25,2.5,2.0,assumed,results_pdf,0.25,0.5
2020-11-01,2.0,2.25,2.5,2.0,assumed,results_pdf,0.25,0.5
